product,license number,ecolabel,category,product group,criteria generation,brand,licensee,address,city,source_id,run_key,retrieval_date,doc_hash,sample_seed,sample_index
"Yunik Väggfärg 20 500 Vit, 0,75 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Yunik,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,18
"Flügger Flutex 5 Kalkvit S0502-Y, 10 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,19
Yunik Pro PU Wood & Metal 20 White,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Yunik Pro,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,20
Nordsjö PROFESSIONAL SNICKERI 40 Base Clear,"3096 0003, 3096 0003",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Nordsjö,Akzo Nobel Decorative Coatings AB,Staffantorpsvägen 50,MALMÖ,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,21
"Flügger Flutex 7S+ Råvit S0500-N, 3 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,22
PP Enamel Wood Primer White,"3096 0024, 3096 0024",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,PP,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,23
"Flügger Perform 10 Base 3, 9,1 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,24
Alcro Fasad Täcklasyr White/ Base A,"3096 0001, 3096 0001",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,Alcro,Tikkurila Sverige AB,Textilgatan 31,Stockholm,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,25
"Flügger Dekso 1 Ultramat Offwhite S0500-N, 120 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,26
Nordsjö TINOVA EXCELLENT EXTERIOR 334 Red,"3096 0051, 3096 0003",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,Nordsjö,Akzo Nobel Decorative Coatings AB,Staffantorpsvägen 50,MALMÖ,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,27
