product,license number,ecolabel,category,product group,criteria generation,brand,licensee,address,city,source_id,run_key,retrieval_date,doc_hash,sample_seed,sample_index
"Flügger Flutex 7S Vit, 10 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,73
"Kraso Projekt 4, bas C, 9,0 l","SE/044/006, SE/044/006",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,KRASO,Hagmans Nordic AB (Fritsla),Box 112,Fritsla,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,74
Beckers Scotte 7 S0502-Y,"4096 0001, 4096 0027",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,75
"Flügger Flutex Pro 5 Base 3, 2,8 l (30844)","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,76
Beckers It's Easy Matt Wall Paint Tundra 572,"4096 0001, 4096 0027",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,77
JOTAPROFF Primer,"2096 0002, 2096 0002",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Jotun JOTAPROFF,Jotun A/S,Postboks 2021,Sandefjord,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,78
Nordsjö PROFESSIONAL 3 BLACK,"3096 0049, 3096 0003",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Nordsjö,Akzo Nobel Decorative Coatings AB,Staffantorpsvägen 50,MALMÖ,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,79
"Flügger Interior Strong Finish 20 Offwhite, 0,38 l","SE/044/002, SE/044/002",EU Ecolabel,Exterior paint (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,80
"BIORA 7 Matt väggfärg BAS3, 2,7 l",4096 0020,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Teknos,Teknos Oy,Takkatie 3,Helsinki,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,81
"Flügger Flutex 7A Bas 3, 9,1 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,82
"JOTAPROFF Prima Wall 07 base A, B, C ","2096 0002, 2096 0002",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Jotun JOTAPROFF,Jotun A/S,Postboks 2021,Sandefjord,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,83
"Flügger Flutex 7A Råvit S0500-N, 0,75 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,84
"Sigmacryl 7 Matt Base ZN (2091), 10 l",DK/044/003,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Sigma,PPG Coatings Danmark A/S,Gladsaxevej 300,Søborg,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,85
Nordsjö ORIGINAL GRUND VÄGG & TAK Base White,"3096 0003, 3096 0003",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Nordsjö,Akzo Nobel Decorative Coatings AB,Staffantorpsvägen 50,MALMÖ,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,86
PP Wood Superdec Base 4,"3096 0048, 3096 0024",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,87
Flügger 03 Wood Tex Base 10,"3096 0048, 3096 0024",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,88
"Flügger Interior Strong Finish 20 Base 4, 0,35 l","SE/044/002, SE/044/002",EU Ecolabel,Exterior paint (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,89
"Flügger Interior High Finish 20 Svart, 0,38 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,90
"Yunik Väggfärg 5 Svart, 3 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Yunik,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,91
Yunik Pro Kitchen & Bath 20 Base 3,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Yunik Pro,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,92
Flügger Interior Strong Finish 20 Base 3,3096 0032,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,93
"Notes Pure Matt Surf Soul, 2 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Notes,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,94
Nordsjö PERFORM+ EASY2CLEAN Base White,"3096 0003, 3096 0003",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Nordsjö,Akzo Nobel Decorative Coatings AB,Staffantorpsvägen 50,MALMÖ,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,95
"Nordic Chic Furniture Paint, Camelia, 750ml",DE/044/046,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Nordic Chic,Nordic Chic,Dragstrupvej 9,Gilleleje,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,96
"Flügger Flutex 7S Vit RAL 9010, 10 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,97
"Ekora 20 Bas 3, 18 l",4096 0020,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Teknos,Teknos Oy,Takkatie 3,Helsinki,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,98
Supertäck 7 Plus Bas A,"SE/044/005, SE/044/005",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Caparol,DAW Nordic AB,Box 36115,GÖTEBORG,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,99
"SIGMA Solid Window Aqua Base ZN, 2,5 l",DK/044/003,EU Ecolabel,Exterior paint (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Sigma,PPG Coatings Danmark A/S,Gladsaxevej 300,Søborg,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,100
