product_or_service,licence_number,group_name,code_type,code_value,product_or_service_name,decision,expiration_date,company_name,company_country,vat_number,extract_date,source_id,run_key,retrieval_date,doc_hash,sample_seed,sample_index
PRODUCT,FR/044/028,"Decorative paints, varnishes, and related products (2014 criteria)",,,Visacolor Mat HD LAURAGAIS BTN 1L,2014/312/EU,2027-06-17,theolaur peinture,France,FR36401971015,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,80
PRODUCT,FR/044/054,"Decorative paints, varnishes, and related products (2014 criteria)",,,Platinium  O'DASSIA Blanc 20 KG,2014/312/EU,2027-06-17,ODASSIA PEINTURES,Morocco,FR044054,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,81
PRODUCT,FR/044/008,"Decorative paints, varnishes, and related products (2025 criteria)",,,Smalto Per Interno Mano Unica Brillante  LUXENS arancio arancio 5,2025/2607,2032-12-31,V33,France,FR88305690158,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,82
PRODUCT,FR/044/008,"Decorative paints, varnishes, and related products (2025 criteria)",,,"FARBA AKRYLOWA DO WNETRZ I NA ZEWNATRZ - DO ŚCIAN, DREWNA I METALU - Satynowa  LUXENS  Banana 4",2025/2607,2032-12-31,V33,France,FR88305690158,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,83
PRODUCT,FR/044/023,"Decorative paints, varnishes, and related products (2014 criteria)",,,Moveis Radiatores Acetinado  LUXENS  JUNGLE 4,2014/312/EU,2027-06-17,RENAULAC,France,FR35394144893,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,84
PRODUCT,FR/044/020,"Decorative paints, varnishes, and related products (2014 criteria)",,,Esprit Déco Satin Ripolin RIPOLIN bleu Béring,2014/312/EU,2027-06-17,PPG AC France,France,FR56572093243,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,85
PRODUCT,PL/044/002,"Decorative paints, varnishes, and related products (2014 criteria)",,,MAGNAT CERAMIC FOLTÁLLÓ BELTÉRI KERÁMIAFESTÉK sivatagi rózsa,2014/312/EU,2027-06-17,FABRYKA FARB I LAKIERÓW ŚNIEŻKA,Poland,8181433438,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,86
PRODUCT,FR/044/020,"Decorative paints, varnishes, and related products (2014 criteria)",,,"Mosaline Velours MOSAIK ocre wadi 0,5L",2014/312/EU,2027-06-17,PPG AC France,France,FR56572093243,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,87
PRODUCT,BE/044/007,"Decorative paints, varnishes, and related products (2014 criteria)",,,PRODUITS : Vinimat SF wall and ceiling paint  BASE :  Base W = base blanche COLORANT : SF.BH = Blanc CONTENANT :  4L,2014/312/EU,2027-06-17,Ets GUILMIN SA,Belgium,BE0404.356.574,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,88
PRODUCT,FR/044/012,"Decorative paints, varnishes, and related products (2014 criteria)",,,"Premium PU Primer B1 CAPAROL 2,5L",2014/312/EU,2027-06-17,DAW France,France,FR91907250500,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,89
PRODUCT,FR/044/023,"Decorative paints, varnishes, and related products (2014 criteria)",,,Peinture Murale Séjour Chambre Mat  LUXENS  saphir 5,2014/312/EU,2027-06-17,RENAULAC,France,FR35394144893,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,90
PRODUCT,FR/044/008,"Decorative paints, varnishes, and related products (2025 criteria)",EAN13,3153895225533,Lasure Protection Forte - LX TE CECIL PRO  Chêne ancien 5L,2025/2607,2032-12-31,V33,France,FR88305690158,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,91
PRODUCT,FR/044/008,"Decorative paints, varnishes, and related products (2025 criteria)",,,Esmalte Madera/Madeira - Climas Extremos/Condiçoes Extremas - Atinado/Acetinado  LUXENS  Black,2025/2607,2032-12-31,V33,France,FR88305690158,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,92
PRODUCT,LU/044/001,"Decorative paints, varnishes, and related products (2014 criteria)",,,Walltop,2014/312/EU,2027-06-17,Peintures Robin S.A.,Luxembourg,LU10268366,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,93
PRODUCT,FR/044/008,"Decorative paints, varnishes, and related products (2025 criteria)",,,"Vernis Lambris, Poutres et Portes Brillant Incolore LUXENS",2025/2607,2032-12-31,V33,France,FR88305690158,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,94
PRODUCT,IT/044/007,"Decorative paints, varnishes, and related products (2014 criteria)",,,"Decor Paint_0,75 L_KK106-0,75L",2014/312/EU,2027-06-17,Kerakoll Spa,Italy,,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,95
PRODUCT,FR/044/012,"Decorative paints, varnishes, and related products (2014 criteria)",,,"BE Premium PU Ultra Blanc / Base B1 CAPAROL 1,25L",2014/312/EU,2027-06-17,DAW France,France,FR91907250500,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,96
PRODUCT,IT/044/007,"Decorative paints, varnishes, and related products (2014 criteria)",EAN13,8021704373162,Decor Paint_4 L_KK116-4L,2014/312/EU,2027-06-17,Kerakoll Spa,Italy,,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,97
PRODUCT,SE/044/002,"Decorative paints, varnishes, and related products (2014 criteria)",,,"Flügger Dekso 5 Bas 6 2,8 L",2014/312/EU,2027-06-17,Flügger A/S,Denmark,32788718,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,98
PRODUCT,SE/044/002,"Decorative paints, varnishes, and related products (2014 criteria)",,,"Flügger Flutex 7A White, 3 l",2014/312/EU,2027-06-17,Flügger A/S,Denmark,32788718,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,99
PRODUCT,BE/044/007,"Decorative paints, varnishes, and related products (2014 criteria)",,,PRODUITS : Finish Aqua Matt wall and ceiling paint  BASE :  Base W = base blanche COLORANT : SF.MA = Magenta CONTENANT :  4L,2014/312/EU,2027-06-17,Ets GUILMIN SA,Belgium,BE0404.356.574,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,100
